framesensor_start,framecallback_start, ready_flag_end,node_update_start,node_update_time(us),node_update_end,split_preprocess_start,split_preprocess_time(us),split_preprocess_end,split_start,split_time(us),split_end,roi_ethernet_start, roi_total_ethernet_start
1758182283437856,23550229307,8463496687868977952,8386095470440816672,18016645778361176661,7955997175092441717,1758182283438668,3,1758182283438671,1758182283438672,39,1758182283438711,1758182283438712,1758182283438749,
1758182283504430,23550295952,8463496687868977952,8386095470440816672,18016645778361176661,7955997175092441717,1758182283505246,3,1758182283505249,1758182283505249,37,1758182283505286,1758182283505287,1758182283505324,
1758182283571196,23550362628,8463496687868977952,8386095470440816672,18016645778361176661,7955997175092441717,1758182283571968,3,1758182283571971,1758182283571972,38,1758182283572010,1758182283572011,1758182283572046,
1758182283637751,23550429303,8463496687868977952,8386095470440816672,18016645778361176661,7955997175092441717,1758182283638618,3,1758182283638621,1758182283638621,38,1758182283638659,1758182283638659,1758182283638695,
1758182283704467,23550495948,8463496687868977952,8386095470440816672,18016645778361176661,7955997175092441717,1758182283705301,3,1758182283705304,1758182283705304,37,1758182283705341,1758182283705342,1758182283705378,
1758182283771132,23550562624,8463496687868977952,8386095470440816672,18016645778361176661,7955997175092441717,1758182283771999,2,1758182283772001,1758182283772002,36,1758182283772038,1758182283772039,1758182283772073,
1758182283837862,23550629300,8463496687868977952,8386095470440816672,18016645778361176661,7955997175092441717,1758182283838624,3,1758182283838627,1758182283838627,38,1758182283838665,1758182283838665,1758182283838701,
1758182283904473,23550695945,8463496687868977952,8386095470440816672,18016645778361176661,7955997175092441717,1758182283905238,3,1758182283905241,1758182283905242,35,1758182283905277,1758182283905277,1758182283905312,
1758182283971148,23550762621,8463496687868977952,8386095470440816672,18016645778361176661,7955997175092441717,1758182283971911,3,1758182283971914,1758182283971914,39,1758182283971953,1758182283971953,1758182283971988,
1758182284037844,23550829297,8463496687868977952,8386095470440816672,18016645778361176661,7955997175092441717,1758182284038746,2,1758182284038748,1758182284038749,36,1758182284038785,1758182284038786,1758182284038822,
1758182284104469,23550895941,8463496687868977952,8386095470440816672,18016645778361176661,7955997175092441717,1758182284105320,3,1758182284105323,1758182284105323,39,1758182284105362,1758182284105362,1758182284105397,
1758182284171154,23550962617,8463496687868977952,8386095470440816672,18016645778361176661,7955997175092441717,1758182284171872,2,1758182284171874,1758182284171874,38,1758182284171912,1758182284171912,1758182284171946,
1758182284237801,23551029293,8463496687868977952,8386095470440816672,18016645778361176661,7955997175092441717,1758182284238529,2,1758182284238531,1758182284238532,36,1758182284238568,1758182284238568,1758182284238602,
1758182284304716,23551095969,8463496687868977952,8386095470440816672,18016645778361176661,7955997175092441717,1758182284305167,2,1758182284305169,1758182284305169,30,1758182284305199,1758182284305199,1758182284305228,
